condition,file,muted,no_speech_prob
clean,sample_0001.wav,0,0.073821
clean,sample_0002.wav,0,0.032531
clean,sample_0003.wav,0,0.050125
clean,sample_0004.wav,0,0.092591
clean,sample_0005.wav,0,0.085377
clean,sample_0006.wav,0,0.022152
clean,sample_0007.wav,0,0.030359
clean,sample_0008.wav,0,0.049492
clean,sample_0009.wav,0,0.054525
clean,sample_0010.wav,0,0.028763
clean,sample_0011.wav,0,0.011085
clean,sample_0012.wav,0,0.033745
clean,sample_0013.wav,0,0.050894
clean,sample_0014.wav,0,0.025391
clean,sample_0015.wav,0,0.030005
clean,sample_0016.wav,0,0.015916
clean,sample_0017.wav,0,0.020017
clean,sample_0018.wav,0,0.010996
clean,sample_0019.wav,0,0.031109
clean,sample_0020.wav,0,0.042497
clean,sample_0021.wav,0,0.046535
clean,sample_0022.wav,0,0.037331
clean,sample_0023.wav,0,0.043189
clean,sample_0024.wav,0,0.014837
clean,sample_0025.wav,0,0.055029
clean,sample_0026.wav,0,0.022650
clean,sample_0027.wav,0,0.028916
clean,sample_0028.wav,0,0.043316
clean,sample_0029.wav,0,0.018193
clean,sample_0030.wav,0,0.033444
clean,sample_0031.wav,0,0.014485
clean,sample_0032.wav,0,0.035356
clean,sample_0033.wav,0,0.038404
clean,sample_0034.wav,0,0.016579
clean,sample_0035.wav,0,0.015813
clean,sample_0036.wav,0,0.043750
clean,sample_0037.wav,0,0.021910
clean,sample_0038.wav,0,0.026454
clean,sample_0039.wav,0,0.013419
random_noise_30s,sample_0001.wav,0,0.180826
random_noise_30s,sample_0002.wav,0,0.080154
random_noise_30s,sample_0003.wav,0,0.156944
random_noise_30s,sample_0004.wav,0,0.199002
random_noise_30s,sample_0005.wav,0,0.296105
random_noise_30s,sample_0006.wav,0,0.092153
random_noise_30s,sample_0007.wav,0,0.226669
random_noise_30s,sample_0008.wav,0,0.190015
random_noise_30s,sample_0009.wav,0,0.114787
random_noise_30s,sample_0010.wav,0,0.125064
random_noise_30s,sample_0011.wav,0,0.048206
random_noise_30s,sample_0012.wav,0,0.150308
random_noise_30s,sample_0013.wav,0,0.135541
random_noise_30s,sample_0014.wav,0,0.095200
random_noise_30s,sample_0015.wav,0,0.083060
random_noise_30s,sample_0016.wav,0,0.051885
random_noise_30s,sample_0017.wav,0,0.158754
random_noise_30s,sample_0018.wav,0,0.048751
random_noise_30s,sample_0019.wav,0,0.135177
random_noise_30s,sample_0020.wav,0,0.141208
random_noise_30s,sample_0021.wav,0,0.082203
random_noise_30s,sample_0022.wav,0,0.089396
random_noise_30s,sample_0023.wav,0,0.112001
random_noise_30s,sample_0024.wav,0,0.060377
random_noise_30s,sample_0025.wav,0,0.176801
random_noise_30s,sample_0026.wav,0,0.109415
random_noise_30s,sample_0027.wav,0,0.086806
random_noise_30s,sample_0028.wav,0,0.118170
random_noise_30s,sample_0029.wav,0,0.090665
random_noise_30s,sample_0030.wav,0,0.128212
random_noise_30s,sample_0031.wav,0,0.030014
random_noise_30s,sample_0032.wav,0,0.108011
random_noise_30s,sample_0033.wav,0,0.090536
random_noise_30s,sample_0034.wav,0,0.040551
